66;Мурманск;Город;Мурманская область;Северо-Западный;299 148;305 236;301 841;Убывание
67;Якутск;Город;Республика Саха;Дальневосточный;294 138;299 169;303 836;Прирост
68;Подольск;Город;Московская область;Центральный;218 537;223 896;293 765;Прирост
69;Тамбов;Город;Тамбовская область;Центральный;284 972;288 895;288 414;Убывание
70;Грозный;Город;Чеченская Республика;Северо-Кавказский;280 263;283 659;287 410;Прирост
71;Стерлитамак;Город;Республика Башкортостан;Приволжский;277 048;278 678;279 568;Прирост
72;Кострома;Город;Костромская область;Центральный;273 382;276 090;279 691;Прирост
73;Петрозаводск;Город;Республика Карелия;Северо-Западный;272 101;275 346;277 111;Прирост
74;Нижневартовск;Город;Ханты-Мансийский автономный округ — Югра;Уральский;265 994;268 456;270 846;Прирост
75;Йошкар-Ола;Город;Республика Марий Эл;Приволжский;260 352;263 190;265 044;Прирост
76;Новороссийск;Город;Краснодарский край;Южный;256 580;262 250;266 977;Прирост
77;Балашиха;Город;Московская область;Центральный;247 075;260 704;428 400;Прирост
78;Таганрог;Город;Ростовская область;Южный;253 587;253 040;251 050;Убывание
79;Комсомольск-на-Амуре;Город;Хабаровский край;Дальневосточный;254 934;253 030;251 283;Убывание
80;Сыктывкар;Город;Республика Коми;Северо-Западный;241 982;242 718;243 536;Прирост
81;Химки;Город;Московская область;Центральный;225 678;232 066;239 967;Прирост
82;Нальчик;Город;Кабардино-Балкарская Республика;Северо-Кавказский;238 802;238 987;239 040;Прирост
83;Шахты;Город;Ростовская область;Южный;237 407;237 233;236 749;Убывание
84;Братск;Город;Иркутская область;Сибирский;238 825;236 313;234 147;Убывание
85;Нижнекамск;Город;Республика Татарстан;Приволжский;235 605;235 448;236 197;Прирост
86;Дзержинск;Город;Нижегородская область;Приволжский;235 840;234 284;233 126;Убывание
87;Орск;Город;Оренбургская область;Приволжский;234 813;232 905;231 104;Убывание
88;Ангарск;Город;Иркутская область;Сибирский;229 592;227 507;226 776;Убывание
89;Благовещенск;Город;Амурская область;Дальневосточный;220 077;224 192;224 335;Прирост
90;Великий Новгород;Город;Новгородская область;Северо-Западный;219 971;221 954;221 868;Убывание
91;Энгельс;Город;Саратовская область;Приволжский;217 776;221 847;224 213;Прирост
